POND #,PONDNAME,DATE,"LONG (NAD83,DD)","LAT (NAD83,DD)",SO4 (mg L-1),NO3 (mg L-1),Cl (mg L-1),F (mg L-1),ANC (µeq L-1),DIC (mg L-1),DOC (mg L-1),TOTAL P1 (mg L-1),TOTAL P2 (mg L-1),SIO2 (mg L-1),Ca (mg L-1),Mg (mg L-1),Na (mg L-1),K (mg L-1),NH4 (mg L-1),TDAl (µg L-1),TAl (µg L-1),Fe (mg L-1),Mn (mg L-1),Pb (mg L-1),Zn (mg L-1),FIELDPH,LAB_pH,AIR_EQ_pH,TRUCOLOR (PtCo),SCONDUCT (µmhos cm-1)
040573,RAZORBACK POND,8/10/1984,74.92267778,43.84867778,5.57,0.14,0.25,0.049,15.7,0.27,,0.006,0.006,2.3,1.59,0.37,0.6,0.31,0.02,17,,0.019,0.023,,,6.17,6.13,5.99,5,19.7
040574,MUD LAKE,7/30/1984,74.96629167,43.89534167,4.6,0,0.21,0.055,-37.6,0.44,6.7,0.019,0.02,1.2,0.8,0.21,0.48,0.37,0.02,122,,0.292,0.021,,,4.47,4.5,4.48,90,25.2
040576A,OUTLET POND,7/30/1985,74.96823611,43.85978889,4.14,0.02,0.06,0.033,81.5,1.1,8.7,0.016,0.011,0,3.38,0.15,0.39,0.22,0.07,,250,5.2,0.033,0,0.005,6.52,6.83,6.91,70,22.2
040577,LITTLE ROCK POND,7/30/1985,74.9424,43.8334,4.28,0,0.07,0.092,-7.8,2.03,6.7,0.015,0.014,0.2,1.16,0.15,0.52,0.1,0,,390,0.48,0.037,0,0.007,4.79,4.83,4.87,70,18.5
040578,BUCK POND,7/30/1985,74.93323333,43.82395556,5.14,0.26,0.2,0.049,5.9,0.4,2.7,0.003,0.006,2.1,2.25,0.26,0.48,0.33,0,,67,0.046,0.027,0,0.012,5.97,6.22,6.25,5,20.6
040579,SNAKE POND,8/8/1984,74.91712222,43.83423333,6.03,0.06,0.24,0.115,-3.7,,,0.005,0.006,0.7,1.3,0.28,0.47,0.27,0.07,156,,0.131,0.05,,,4.87,5.13,5.16,15,20.7
040580,SILVER LAKE,7/29/1986,74.90851111,43.84201111,6.09,0.27,0.26,0.037,-9.7,0.4,1.4,0.041,,1.7,1.03,0.19,0.33,0.23,0.02,328,,0.023,0.058,0,0.018,4.91,4.85,4.83,0,21.1
040581,POCKET PONDS,8/10/1984,74.88017778,43.83339722,5.63,0.01,0.12,0.031,-56.3,0.51,,0.006,0.006,0.1,0.52,0.12,0.19,0.1,0.04,344,,0.088,0.036,,,4.19,4.28,4.27,30,33.2
040582,SOUTH POND,8/2/1984,74.88101111,43.84395278,6.06,0.02,0.12,0.043,-21.1,0.42,2,0.007,0.007,0,0.97,0.2,0.27,0.24,,234,,0.082,0.036,,,4.92,4.68,4.69,10,24.3
040583,JOCK POND,8/9/1984,74.86128889,43.85061944,7.09,0.01,0.05,0.069,-7.6,,,0.009,0.02,0.2,0.95,0.18,0.28,0.07,,290,,0.044,0.03,,,4.68,4.79,4.78,10,25.3
040584,TWITCHELL LAKE,7/30/1985,74.89295556,43.841175,5.21,0.1,0.19,0.052,2.9,0.36,2.6,0.009,0.009,1.9,1.54,0.26,0.53,0.34,0.04,,195,0.205,0.09,0.001,0.026,5.38,5.58,5.64,15,18.3
040585,OSWEGO POND,8/8/1984,74.89962222,43.85034167,3.67,0,0.29,0.107,33.8,,,0.024,0.036,5,1.59,0.32,1.01,0.27,0.04,384,,0.505,0.024,,,5.49,5.56,5.76,160,18.9
040586,LITTLE BIRCHES POND,7/29/1986,74.87795556,43.85506389,5.51,0,0.27,0.027,-27.2,1.38,4.5,0.022,0.019,0.3,0.63,0.14,0.3,0.15,0,320,,0.181,0.028,0,0.012,4.48,4.51,4.54,25,22.2
040587,LILYPAD POND LOWER,8/2/1984,74.87073333,43.85423056,6.48,0,0.07,0.041,-21.6,0.46,0.7,0.006,0.007,0.1,0.75,0.15,0.29,0.12,,270,,0.062,0.033,,,4.55,4.67,4.67,5,24.6
040595,CRYSTAL LAKE,7/29/1985,75.28018333,43.83979167,5.91,0,0.32,0.041,73.1,1,2.1,0.004,0.002,1.2,2.39,0.47,0.74,0.49,0.01,,12,0.012,0.001,0.002,0.014,6.58,6.94,7.04,5,23.1
040597,CHASE LAKE,7/24/1986,75.31379167,43.76173611,4.97,0,0.36,0.099,90.4,1.12,4.9,0.012,0.016,4,2.27,0.57,0.84,0.38,0,22,,0.08,0,0,0.002,5.92,7.08,6.95,35,24.9
040600,PARSONS POND,7/9/1986,75.28906944,43.75979167,1.98,0.01,0.27,0.037,3.2,2.09,11.4,0.065,0.055,0.4,0.78,0.18,0.22,0.57,0.11,59,,0.228,0.034,0,0.007,4.88,4.96,5.04,110,11.2
040602,UPPER CHASE LAKE,7/9/1986,75.28351389,43.76895833,4.44,0,0.32,0.106,108,2.51,7.6,0.015,0.022,6.5,2.54,0.6,1.01,0.4,0,65,,0.382,0.013,0,0.004,5.91,6.29,6.88,80,
040605,HINCHINGS POND,7/29/1985,75.27823611,43.75729167,5.39,0.09,0.23,0.017,-26,0.2,,0.004,0.003,0.1,1.07,0.16,0.25,0.2,0.06,,111,0.055,0.027,0.003,0.026,4.54,4.59,4.54,0,24
040607,CORK POND,7/10/1985,75.267125,43.78423611,2.62,,0.09,0.021,-18.5,0.84,4.2,0.008,0.008,0,0.29,0.09,0.06,0.17,0.03,,14,0.046,0.022,0,0.003,4.44,4.54,4.55,20,15
040608,EVIES POND,7/10/1985,75.27379167,43.77868056,2.52,,0.21,0.015,13.5,0.8,7.3,0.017,0.018,0,0.89,0.33,0.14,0.36,0.05,,22,0.05,0.02,0,0.022,4.89,5.3,5.43,40,12.1
040610,LONG LAKE,7/29/1985,75.27129167,43.77840278,2.06,0,0.15,0.02,11.7,0.37,,0.009,0.005,0.1,0.7,0.21,0.09,0.25,0.01,,16,0.092,0.022,0.005,0.005,5.55,5.51,5.66,15,8.9
040611,SPECTACLE POND EAST,7/25/1984,75.26684722,43.77784722,1.35,0,0.21,0.028,-11.8,1.08,7.8,0.102,0.251,0.4,0.5,0.09,0.08,0.39,0,19,,0.143,0.023,,,4.74,4.76,4.78,40,13
040612,SPECTACLE POND WEST,7/25/1984,75.26990278,43.77979167,1.46,0,0.2,0.025,-0.5,1.17,6.5,0.092,0.035,0.4,0.51,0.13,0.05,0.47,0,18,,0.101,0.023,,,5.08,4.97,5.2,40,10.6
040613,MAHAN POND,7/25/1984,75.26684722,43.77229167,1.37,0,0.18,0.023,-15.7,1.28,8.9,0.019,0.084,0.4,0.64,0.11,0.07,0.26,0.01,24,,0.143,0.024,,,4.59,4.67,4.7,60,13.3
040615,NORTH POND,8/14/1984,75.22295833,43.78034722,4.37,0,1.13,0.076,-22.8,1.4,17.5,0.016,0.018,1.6,1.58,0.29,0.71,0.48,0.03,105,,0.79,0.048,,,4.51,4.43,4.47,160,33.4
040617,STONY LAKE,7/25/1985,75.21684722,43.77729167,4.6,0.14,0.2,0.078,12.9,0.54,4,0.005,0.006,1,1.61,0.26,0.42,0.17,0,,35,0.262,0.037,0.004,0.017,5.61,5.8,5.88,20,16.8
040618,HOPSICKER POND,7/10/1985,75.27795833,43.78979167,1.85,,0.17,0.018,-15.8,0.62,5.9,0.032,,0,0.48,0.11,0.07,0.26,0.02,,22,0.078,0.033,0,0.014,4.69,4.77,4.75,35,12.3
040619,CLEVELAND LAKE,7/9/1986,75.28212778,43.79673611,3.65,0,0.16,0.026,83.3,1.17,5,0.02,0.017,0,2.77,0.21,0.05,0.25,0,14,,0,0.001,0,0.001,6.53,7.06,6.94,15,19.6
040620,PAYNE LAKE,7/9/1986,75.29101667,43.79395833,2.47,0,0.13,0.03,125,1.6,6.1,0.012,0.01,0,2.98,0.34,0.07,0.25,0.01,12,,0.069,0.002,0,0.001,6.3,7.08,7.1,25,18.2
040622,HUCKLEBERRY LAKE,7/23/1986,75.25795833,43.79340278,1.76,0,0.2,0.048,23,1.17,8.1,0.053,0.035,0,0.93,0.22,0.3,0.2,0,63,,0.271,0.025,0,0.005,6.18,5.6,5.99,80,10.6
040625,HALFMOON LAKE,8/16/1984,75.25601667,43.81618056,5.81,0,0.08,0.07,-27,0.52,3.9,0.008,0.008,0.1,1.13,0.17,0.21,0.05,0.01,170,,0.127,0.046,,,4.54,4.56,4.53,15,24.5
040626,GOURD POND,7/26/1984,75.26240556,43.83229167,3.73,0,0.14,0.067,10,2.77,5.7,0.042,0.042,0.5,1.59,0.22,0.22,0.11,0.05,160,,0.58,0.068,,,5.18,5.15,5.7,110,17.1
040627,STEWART POND,7/26/1984,75.26962778,43.82923611,2.25,0,0.2,0.022,-37.6,0.49,6.6,0.017,0.011,0,0.54,0.09,0.06,0.22,0.01,15,,0.08,0.029,,,4.35,4.58,4.53,25,16.8
040628,TROUT POND,7/25/1985,75.18407222,43.83367778,2.86,0.13,0.17,0.095,12.4,4.96,9.6,0.006,0.032,3,1.32,0.22,0.44,0.47,0,,300,0.988,0.074,0.002,0.02,4.89,4.88,5.1,150,20.4
040630,BILLS POND,7/25/1985,75.15268333,43.84228889,4.24,0.01,0.22,0.179,15.2,2.51,7.8,0.032,,0.8,1.27,0.2,0.41,0.37,0.35,,425,0.57,0.052,0,0.022,5.25,5.33,5.65,150,18.6
040631,MIKES POND,7/25/1985,75.18184722,43.81534444,1.34,0.21,0.21,0.056,-44.4,3.88,21.1,0.025,0.015,4.2,0.63,0.13,0.21,0.14,0,,200,0.47,0.008,0.003,0.008,4.34,4.35,4.33,200,24.7
040632,PANTHER POND,8/13/1984,75.17045833,43.81812222,6.41,0,0.35,0.145,-26.9,0.79,7.5,0.016,0.021,0.9,1.34,0.3,0.43,0.26,0.03,250,,0.4,0.034,,,4.54,4.53,4.51,55,29.7
040635,FIFTH CREEK POND,8/3/1984,75.08240278,43.84062222,6.02,0.01,0.19,0.108,-8,0.47,2.3,0.017,0.009,0.1,0.89,0.17,0.34,0.32,0.27,247,,0.09,0.046,,,4.8,4.96,4.95,10,21.2
040636,UNNAMED POND,7/25/1985,75.10879167,43.8134,5.16,0,0.22,0.081,-59.7,0.71,13.2,0.031,0.028,0.9,0.59,0.15,0.32,0.1,0,,750,0.27,0.025,0,0.009,4.19,4.23,4.24,100,33.5
040638,UNNAMED (LENNON) POND,8/20/1984,75.11295833,43.81478889,5.05,0,0.18,0.05,-48.2,1.44,8.3,0.013,0.011,1.6,0.92,0.23,0.32,0.24,0.02,367,,0.319,0.033,,,4.36,4.35,4.33,55,31.3
040639,HITCHCOCK LAKE,7/25/1985,75.049625,43.84701111,4.98,0.12,0.12,0.086,-18.5,0.41,5.7,0.004,0.004,0.9,1.23,0.23,0.3,0.32,0,,320,0.129,0.054,0,0.019,4.75,4.81,4.83,25,21.2
040640,BLUE POND,8/14/1986,75.09184722,43.80784444,2.71,0,0.16,0.05,-40,1.12,6.1,0.007,0.007,0.2,0.33,0.1,0.07,0.24,0,19,,0.146,0.029,0.001,0.004,4.28,4.36,4.36,45,22.1
040641,HITCHCOCK POND,8/14/1986,75.09156944,43.78284444,5.39,0,0.22,0.11,9,0.46,4.7,0.007,0.008,0.7,1.49,0.31,0.57,0.24,0,101,,0.201,0.02,0,0.005,5.58,5.69,5.61,25,19.2
040642,GRASS POND,7/25/1985,75.07629167,43.78645556,4.57,0,0.18,0.078,-6.4,0.51,7.6,0.014,0.014,0.6,1.17,0.22,0.47,0.22,0,,255,0.315,0.054,0,0.008,4.85,4.88,4.92,55,19.4
040643,MOOSE POND,8/14/1986,75.05879167,43.78201111,4.61,0.02,0.21,0.089,3.2,1.36,5.8,0.021,0.02,0.4,1.06,0.22,0.34,0.16,0.29,214,,0.566,0.035,0,0.005,5.07,5.12,5.1,80,18.5
040644,UNNAMED POND,7/10/1986,75.04601389,43.79312222,4.67,0.23,0.31,0.126,156.4,,5.5,0.012,0.012,10.6,2.75,0.63,1.61,0.41,0.01,120,,0.622,0.038,0,0,6.32,6.72,7.17,60,30.1
040645,UNNAMED POND,7/24/1986,74.99768056,43.79562222,4.19,0,0.16,0.058,-6,0.98,6.5,0.016,0.016,0.2,0.92,0.2,0.36,0.23,0.02,181,,0.293,0.073,0,0.011,4.87,4.95,4.93,43,17.3
040646,UNNAMED POND,7/25/1985,75.01517778,43.75617778,5.12,0,0.1,0.052,-39.8,0.61,5.2,0.013,0.025,0.1,0.56,0.12,0.29,0.04,0.02,,430,0.079,0.048,0,0.013,4.42,4.47,4.47,25,25.1
040647,INDEPENDENCE LAKE,7/9/1986,74.98434444,43.77506667,5.1,0.19,0.25,0.123,45.6,0.7,3.4,0.006,0.005,5.8,2.12,0.37,0.84,0.33,0.01,32,,0.011,0.008,0,0.003,6.2,6.68,6.54,15,21.4
040649,LYONS MARSH,7/24/1986,74.97462222,43.80395556,3.3,0,0.1,0.071,-2.1,0.33,13.2,0.013,0.017,2.4,1.05,0.19,0.46,0.02,0,434,,0.627,0.036,0,0.002,4.71,4.79,4.77,100,19
040650,LITTLE INDEPENDENCE POND,7/30/1985,74.96212222,43.79673333,3.4,0,0.15,0.077,25.8,2.31,12.5,0.013,,2.3,1.58,0.27,0.79,0.36,0.16,,385,1.093,0.045,0.001,0.017,5.33,5.42,5.76,160,18.7
040650A,DOE POND,7/30/1985,74.9574,43.7959,6.3,0.04,0.14,0.073,4.1,0.51,5,0.019,0.011,0.2,1.61,0.26,0.7,0.29,0.23,,920,0.099,0.059,0.002,0.007,5.26,5.44,5.43,20,22.5
040651,LITTLE DIAMOND POND,7/9/1986,74.97462222,43.80395556,6.85,0,0.19,0.086,-22.2,0.05,4.6,0.008,0.007,0.3,1.1,0.23,0.46,0.06,0,370,,0.053,0.024,0.001,0.007,4.61,4.66,4.58,20,24.6
040662A,PITCHER POND,7/9/1986,75.28628889,43.72090278,3.92,0,0.25,0.032,74,0.06,11.4,0.015,0.016,0.3,1.97,1.27,0.08,0.05,0,23,,0.019,0.005,0,0.001,7.15,7.9,6.66,30,21.5
040663,SAND POND,7/29/1985,75.28879167,43.74479167,5.54,0,0.34,0.023,3.5,0.01,,0.007,0.006,0.1,1.84,0.18,0.42,0.33,0.01,,27,0.069,0.019,0.002,0.016,5.77,5.84,5.72,5,18.2
040664,LITTLE OTTER LAKE,7/9/1986,75.26101389,43.743125,5.04,0,0.32,0.074,61.4,0.55,6.4,0.008,0.006,4.1,2.29,0.4,0.58,0.31,0,83,,0.151,0.006,0,0.004,7.11,6.61,6.5,40,20.9
040664A,FLORENCE POND,8/23/1984,75.26795833,43.73256944,3.06,0,0.37,0.034,11.6,1.64,16.2,0.03,0.021,0.1,1.33,0.69,0.09,0.54,0,54,,0.156,0.063,,,5.93,5.03,5.1,160,18.3
040667,EAST POND,7/25/1985,75.21295833,43.768125,3.61,0,0.2,0.128,27.9,6.87,18.9,0.056,0.056,4.4,1.81,0.29,0.55,0.59,0,,335,3.496,0.065,0.002,0.021,5.37,5.22,5.54,300,21.6
040675,WEST POND,7/23/1985,75.12323333,43.73145833,4.31,0,0.14,0.079,12,1.1,8.7,0.028,0.027,0,1.4,0.22,0.46,0.32,0.03,,264,0.14,0.034,0,0.005,5.34,5.39,5.59,40,16.7
040676,BIG OTTER LAKE,8/13/1984,75.12573333,43.72284722,4.84,0.06,0.3,0.094,35,0.95,6.8,0.019,0.021,4.1,1.82,0.4,0.79,0.35,0.02,198,,0.416,0.042,,,5.43,5.86,6.04,80,21.9
040677,NORTH POND,7/9/1986,75.10406667,43.74368056,4.05,0.12,0.34,0.094,32.5,1.68,10.1,0.015,0.012,5.7,1.62,0.35,0.95,0.18,0.04,252,,0.503,0.088,0,0.008,5.95,5.67,5.86,110,19.7
040678,EAST POND,8/10/1984,75.05601111,43.7384,5.58,0,0.06,0.082,-10.6,0.23,,0.016,0.017,0,1.03,0.22,0.26,0.19,0.02,155,,0.026,0.042,,,4.97,4.9,4.93,0,19.9
040679,UNNAMED POND,7/25/1985,75.0249,43.76312222,4.97,0,0,0.133,-33.5,0.33,5.4,0.011,0.016,0.1,0.73,0.12,0.32,0.01,0,,260,0.061,0.041,0,0.007,4.42,4.47,4.47,20,24.8
040680,LITTLE SIMON POND,8/10/1984,75.04073333,43.73201111,5.63,0.15,0.25,0.065,-21.7,2.02,,0.029,0.029,3.1,1.13,0.18,0.29,0.41,0.08,402,,0.565,0.047,,,4.5,4.58,4.59,80,28.2
040681,BLACKFOOT POND,8/16/1984,75.02684444,43.74228889,5.6,0.03,0.19,0.013,-63.2,1.07,8.7,0.023,0.011,2.9,0.81,0.14,0.19,0.13,0.02,470,,0.278,0.04,,,5.78,4.3,4.31,55,34.1
040683,UNNAMED POND,7/23/1985,75.01767778,43.73367778,2.61,0,0.16,0.106,32.9,1.11,10.8,0.025,0.022,0.9,1.35,0.26,0.65,0.19,0.11,,300,1.03,0.031,0,0.013,5.64,5.68,6.05,175,15.9
040684,GIBBS LAKE,7/22/1985,75.00489722,43.72978889,3.91,0,0.18,0.077,56.4,0.5,7.3,0.017,0.015,0.8,2.06,0.43,0.82,0.38,0,,73,0.05,0.005,0.001,0.004,7.07,7.5,6.5,35,19.9
040689,BRANTINGHAM LAKE,7/9/1986,75.27545556,43.68479167,5.61,0,0.53,0.12,132.7,1.6,4.8,0.012,0.007,5.4,3.45,0.64,1.15,0.44,0,24,,0.045,0.006,0,0.003,6.78,7,7.02,30,31.5
040690,PLEASANT LAKE,7/23/1986,75.28684444,43.688125,5.15,0,0.62,0.015,2.3,0.1,2.3,0.017,0.028,0,1.36,0.24,0.44,0.43,0,13,,0.072,0.035,0,0.015,5.55,5.6,5.47,5,18.4
040691,BURNT (MUD) POND,7/24/1986,75.28628889,43.69118056,1.82,0,0.2,0.085,-9.7,0.58,3.2,0.018,0.02,0,0.32,0.11,0.07,0.18,0,26,,0.065,0.025,0,0.004,5.37,4.88,4.88,15,9.6
040693,DYER POND,7/11/1985,75.28378889,43.70423611,1.6,,0.18,0.016,-17.3,1.09,5.2,0.024,,0,0.42,0.11,0.06,0.27,,,9,0.055,0.029,0,0.011,4.82,4.94,4.98,15,9.7
040694,WEST PINE POND,8/15/1984,75.16573333,43.70423611,3.3,0,0.27,0.071,59.6,5.37,12.7,0.036,0.038,3.6,1.75,0.31,0.35,0.53,0.01,104,,1.22,0.064,,,5.36,5.11,6.53,150,17.9
040697,GARRIT LAKE,7/9/1986,75.26239722,43.63979167,2.19,0,0.21,0.078,115.1,6.32,14.3,0.029,0.028,5.5,2.94,0.46,0.59,0.31,0.01,102,,0.688,0.03,0,0.003,5.39,5.73,6.76,200,24
040699,PINE LAKE,8/14/1984,75.15461944,43.70173611,4,0,0.23,0.117,78.5,1.21,6.8,0.02,0.023,2.7,2.36,0.5,0.63,0.29,0.03,110,,0.585,0.006,,,5.69,6.36,6.86,35,22.7
040700,EAST PINE POND,8/14/1984,75.13711944,43.70368056,3,0,0.21,0.123,73.2,2.97,10.1,0.038,0.036,3.1,2.16,0.43,0.63,0.29,0.04,106,,0.382,0.095,,,5.65,5.72,6.6,100,21.2
040702,LOST LAKE,8/15/1984,75.12795278,43.685625,3.04,0,0.46,0.056,-16.4,2.03,8.9,0.025,0.026,0.4,0.69,0.18,0.41,0.62,0.02,230,,0.63,0.047,,,4.86,4.6,4.64,125,21
040704,MIDDLE SETTLEMENT LAKE,8/14/1984,75.09961944,43.68395833,5,0.03,0.15,0.068,-7.6,0.27,2.1,0.009,0.007,0.3,0.96,0.19,0.52,0.18,0.04,125,,0.118,0.039,,,5.2,4.96,4.97,5,18.7
040705,CEDAR POND,8/14/1984,75.08434167,43.69340278,4.18,0.05,0.28,0.131,89.5,2.54,8.2,0.02,0.023,5.8,2.25,0.5,1.03,0.45,0.06,125,,0.515,0.063,,,5.88,6.04,6.83,80,24.2
040706,GRASS POND,8/13/1984,75.06461944,43.69034722,5.86,0.19,0.34,0.098,50.3,1.59,4.9,0.011,0.01,7.4,2.25,0.46,1.12,0.31,0.03,325,,0.114,0.025,,,5.64,6.03,6.54,30,26.3
040707,MIDDLE BRANCH LAKE,8/14/1984,75.10184167,43.69784722,5,0,0.28,0.116,18.4,0.61,3.9,0.008,0.011,5.5,1.97,0.46,0.83,0.34,0.05,23,,0.028,0.001,,,6.49,6.87,6.62,20,27.1
040708,LITTLE PINE LAKE,8/27/1984,75.15239722,43.68340278,4.46,0.01,0.33,0.092,24.7,1.3,9.7,0.016,0.019,5.2,1.87,0.34,0.66,0.31,,191,,0.64,0.037,,,5.32,5.36,5.67,45,20.3
040710B,UNNAMED POND,7/9/1986,75.24628611,43.62479167,2.24,0,0.3,0.092,393.2,5.94,9.8,0.029,0.029,0.4,7.01,1.02,0.86,0.29,0,19,,0.884,0.033,0,0.001,6.17,6.86,7.54,60,47.3
040713,TWIN SISTER LAKE,8/19/1985,75.17795,43.62340278,4.15,0.08,0.38,0.31,251.2,3.62,8,0.03,0.032,8.2,4.35,0.9,1.94,0.59,0.01,,220,0.205,0.034,0,0.004,6.3,6.9,7.16,40,39.4
040717,GULL LAKE,7/10/1985,75.08433889,43.64284722,4.65,,0.28,0.046,23.8,0.46,5.8,0.024,0.03,0.5,1.23,0.35,0.64,0.48,0.01,,87,0.133,0.036,0,0.007,5.55,5.94,5.88,50,16.6
040718,NELSON LAKE,8/6/1984,75.07100556,43.63979167,5.55,0,0.33,0.102,80.9,0.95,5.1,0.014,0.012,3.7,2.58,0.55,0.84,0.36,0,28,,0.043,0.01,,,6.52,6.88,6.95,30,25.8
040720,OKARA LAKE EAST,7/10/1985,75.04322778,43.68145833,6.08,0.15,10.3,0.044,92,1.34,3.7,0.019,0.023,3.2,4.79,0.88,3.94,0.5,0.05,,,0.008,0.004,0,0.006,6.41,7.03,6.79,15,60.6
040721,OKARA LAKE WEST,7/10/1985,75.05239444,43.67895833,5.9,,0.47,0.127,115,1.47,4.1,0.015,0.033,5,2.96,0.62,1.05,0.38,0,,74,0.063,0.003,0,0.007,6.51,7.21,6.9,30,29.4
040722,ROCK POND,7/23/1985,75.040175,43.69728889,3.55,0,0.17,0.123,104,1.8,9.2,0.04,0.04,4.1,2.37,0.43,1.06,0.27,0.11,,530,0.465,0.036,0,0.007,6.45,6.44,7.07,100,23.5
040725,UNNAMED POND,7/8/1986,75.01683889,43.67867778,3.1,0.01,0.24,0.079,6.9,1.66,10.2,0.016,0.019,1.2,1.55,0.3,0.65,0.12,0.05,139,,0.451,0.025,0,0.006,5.7,5.59,6.29,110,16.9
040726,UNNAMED POND,8/6/1984,75.01850556,43.67784444,1.94,0.02,11.48,0.101,236.6,3.45,11.6,0.071,0.077,4.7,5.33,0.81,4.7,0.78,0,33,,1.017,0.038,,,6.6,6.6,7.31,160,62.3
040727,WINDFALL POND,7/23/1985,75.00795278,43.69478889,5.33,0.14,1.49,0.124,189.2,2.65,3.9,0.013,0.015,4.7,4.22,0.82,1.7,0.46,0,,98,0.268,0.013,0,0.006,6.72,7.24,7.52,25,42
040729A,UNNAMED POND,7/8/1986,75.01573056,43.71034444,2.14,0.01,0.18,0.097,65.6,1.05,14.6,,0.03,2.6,2.22,0.51,1.04,0.28,0.13,110,,0.577,0.032,0,0.008,6.14,6.5,6.84,180,20.9
040731,WHEELER POND,7/31/1986,74.96073056,43.74034444,4.42,0,0.22,0.089,46.5,0.51,7,0.01,0.01,4,2.09,0.45,0.79,0.3,0,126,,0.017,0.008,0,0.004,5.77,6.48,6.42,40,21.6
040731A,ROUND POND,7/22/1985,74.97239722,43.73701111,3.75,0,0.18,0.015,-6.6,0.11,0.7,0.005,0.006,0,0.71,0.14,0.18,0.27,0,,54,0.041,0.031,0.002,0.016,4.69,4.79,4.86,0,15.6
040733,BIG DIAMOND POND,7/9/1986,74.94962222,43.78895556,4.67,0,0.22,0.045,-3.7,0.05,4.7,0.009,0.009,0.8,1.07,0.21,0.31,0.25,0,154,,0.068,0.043,0,0.012,5.04,5.09,5.01,30,16.8
040734,CLEAR POND,7/9/1986,74.95684444,43.76562222,6.43,0.25,0.3,0.095,28.6,0.46,2.5,0.005,0.005,4.8,2.1,0.41,0.66,0.35,0,32,,0.014,0.109,0,0.014,5.81,6.5,6.37,10,23.2
040735,LITTLE SAFFORD LAKE,7/9/1986,74.95517778,43.76117778,4.67,0.09,0.23,0.112,86.5,0.86,6.1,0.017,0.014,5.3,1.88,0.41,0.97,0.23,0.04,137,,0.259,0.052,0,0.006,6.25,6.58,6.58,50,22.9
040736,SAFFORD POND,8/15/1984,74.91489722,43.78423333,5.44,0.11,0.37,0.106,24.2,0.87,,0.013,0.014,3.5,2.28,0.38,0.64,0.34,0.03,346,,0.45,0.033,,,5.3,5.2,5.71,90,24.5
040737,UNNAMED POND,7/28/1986,74.89545556,43.8184,6.08,0,0.21,0.054,-40.4,1.52,9.9,0.044,0.034,1.2,0.76,0.14,0.34,0.07,0,674,,0.218,0.024,0,0.017,4.25,4.37,4.35,60,30.2
040738,THIRSTY POND,7/28/1986,74.90767778,43.82256667,5.86,0,0.31,0.072,-5.1,0.53,3,0.017,0.01,0.3,1.15,0.22,0.51,0.18,0,171,,0.044,0.032,0,0.014,4.75,5.05,4.94,10,20.1
040739,LAKE RONDAXE,7/29/1986,74.91600833,43.75645556,5.58,0.19,0.36,0.113,,0.74,3.7,0.007,0.015,4.6,1.96,0.37,0.51,0.32,0,87,,0.089,0.06,0,0.013,5.67,6.14,6.26,15,22.8
040740,GOOSE POND,8/15/1984,74.90350833,43.78034444,6.55,0.05,0.18,0.099,10,0.59,5,0.007,0.009,0.1,1.81,0.37,0.44,0.15,0.17,122,,0.176,0.032,,,5.36,5.7,5.53,15,21.9
040742,FLY POND,8/7/1984,74.90128611,43.74923333,5.42,0.01,2.66,0.12,,2.28,,0.015,0.018,3.6,3.96,0.74,2.13,0.36,0,90,,0.222,0.018,,,6.15,6.59,7.05,70,38.7
040743,WEST LAKE,7/11/1985,74.91739722,43.75645556,6.36,0.38,0.66,0.092,101.1,1.47,2.6,0.007,0.009,7.6,3.17,0.62,1.12,0.5,,,76,0.028,0.002,0,0,6.2,7.07,6.87,10,30.6
040744,KANACTO LAKE,7/9/1985,74.925175,43.75256667,3.44,0,0.3,0.013,-12.9,0.19,2.8,0.016,0.02,0,0.86,0.16,0.14,0.26,0.03,,37,0.071,0.038,0,0.011,5.26,4.87,4.86,10,16
040745,LINDSEY POND (TA-JEC-NA),7/9/1985,74.927675,43.75062222,3.92,0,0.25,0.011,-23,0.43,1.7,0.006,0.012,0,0.7,0.15,0.12,0.22,0.03,,23,0.046,0.029,0,0.01,4.55,4.55,4.56,5,19.9
040746,MOSS LAKE,7/28/1986,74.852675,43.78117778,6.35,0.25,0.4,0.133,72.5,0.99,4.6,0.029,0.007,5.4,2.57,0.51,0.81,0.4,0,65,,0.031,0.004,0,0.007,6.14,6.8,6.68,25,28
040747,CASCADE LAKE,8/9/1984,74.81239444,43.78923056,6.18,0.23,0.32,0.118,54.7,0.73,,0.009,0.007,5.6,2.53,0.49,0.71,0.45,0.03,75,,0.076,0.023,,,5.97,6.7,6.5,10,25.3
040748,BUBB LAKE,7/28/1986,74.84656111,43.77478889,5.26,0,0.29,0.092,53.8,0.75,3.8,,0.014,1.8,1.72,0.41,0.65,0.34,0.01,35,,0.048,0.022,0,0.005,6.05,6.59,6.5,15,20.1
040749,SIS LAKE,7/28/1986,74.857675,43.77062222,5.39,0.05,0.34,0.099,153.4,1.85,4.5,,0.022,5.4,2.86,0.63,0.94,0.25,0.05,106,,0.082,0.033,0,0.008,6.58,7.08,7.16,20,28.6
040750,DART LAKE,7/31/1986,74.87073056,43.7934,5.2,0.19,0.34,0.071,4.8,0.39,4,0.01,0.006,3.5,1.85,0.35,0.5,0.31,0.02,180,,0.057,0.112,0,0.016,5,5.27,5.28,15,22.6
